이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간,한줄평
용산마루,일식,3.9,740,"서울 용산구 한강대로15길 19-28 1층
(지번) 한강로3가 40-461",37.52547247,126.9626268,,"한우 모츠나베 (36,000원), 곱도리탕 (36,000원), 한우 호르몬동 (14,000원), 수비드 차슈동(한정) (15,000원), 부추마제소바 (14,000원), 메밀김밥 (12,000원), 제주숙성 카츠산도(한정) (15,000원), 내슈빌 가라아게 (20,000원), 참깨 가라아게 (20,000원), 프리미엄 레몬하이볼 (10,000원), 아사히생맥주 (10,000원)",영업시간 매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00,
온오프커피,카페,3.5,147,"서울 용산구 두텁바위로 12 1층
(지번) 남영동 3-1",37.54513756,126.9733756,070-7585-9755,메뉴 없음,영업시간 월~토 07:30 ~ 22:00,
이태원교집합,술집,3.9,36,"서울 용산구 보광로55길 19 1층
(지번) 이태원동 79-3",37.53292524,126.9932727,070-7760-0911,"스칼렛 파스타 (21,000원), 차이나타운 누들 (23,000원), 소이 칠리 깐풍기 (28,000원), 똠냥 라면 (12,000원), 츄러스 & 아이스크림 (12,000원), 양고기 그린커리 (19,000원), 미나리 부추전 (18,000원), 대방어 & 쏨땀 (시즌) (35,000원), 사천 동파육 (32,000원), 한우 1+ 육회 (28,000원), 마라 갑오징어 무침 (25,000원), 감자 사라다 (9,000원), 태국식 감동란 (9,000원)",월요일,
달볶이 숙명여대점,떡볶이,3.9,34,"서울 용산구 청파로47길 88
(지번) 청파동2가 55-9",37.54519134,126.9656512,02-715-6137,"떡볶이 (4,000원), 순대 (4,000원), 꼬마김밥 (3,500원), 어묵 (3,000원), 모듬튀김 (3,500원), 어묵튀김 (5개) (3,000원), 감자튀김 (5,000원), 오징어튀김 (1개) (1,000원), 튀김 세트 (4,000원), 순대 세트 (4,500원), 김밥 세트 (4,000원), 어묵 세트 (4,000원)","영업시간 월,화,수,목,금,일 11:00 ~ 20:50",
신용산닭한마리,닭요리,4,119,"서울 용산구 한강대로42길 12 1층
(지번) 한강로2가 121-3",37.53050521,126.9702773,02-795-1256,"닭한마리(2~3인) (28,000원), 한마리 반(3~4인) (42,000원), 두마리(4~5인) (56,000원), 능이 닭한마리(2~3인) (43,000원), 닭볶음탕 (35,000원), 능이한마리반(3~4인) (57,000원), 능이 두마리(4~5인) (71,000원), 닭볶음탕(4~5인) (48,000원), 감자전 (12,000원), 김치전 (12,000원), 해물파전 (15,000원)",매일 10:00 ~ 23:00 · 휴게시간 매일 16:00 ~ 17:00,
열정갈비,갈비,4.3,23,"서울 용산구 백범로90라길 31 1층
(지번) 원효로1가 121-69",37.53873355,126.9690456,02-706-9292,"수제 생갈비 (1인) (17,000원), 수제 양념갈비 (1인) (17,000원), 비빔막국수 (10,000원), 물막국수 (10,000원), 명태회막국수 (11,000원)",매일 16:00 ~ 22:30,
차경,와인바,3.3,312,"서울 용산구 소월로20길 46 2층
(지번) 용산동2가 1-82",37.54460782,126.9848055,010-8247-0620,"큰접시 (38,000원)",월~목 17:00 ~ 23:30,
순식당,일식,3.6,71,"서울 용산구 후암로 83 2층
(지번) 동자동 4-1",37.55310306,126.9761099,02-775-1213,"차슈벤또 (11,000원), 돈까스벤또 (11,000원), 모듬회 (중) (60,000원), 광어와다 (38,000원), 간장새우장 (13,000원), 연어벤또 (16,000원), 사시미벤또 (17,000원), 새우튀김 (23,000원), 레몬 탕수육 (22,000원), 모듬벤또 (12,000원)",월~금 11:00 ~ 23:00,
카사블랑카,샌드위치,4.2,52,"서울 용산구 신흥로 35 1층
(지번) 용산동2가 44-7",37.54164344,126.9871174,02-797-8367,메뉴 없음,월요일,
진미식당,한식,3.8,208,"서울 용산구 백범로90길 46 1층
(지번) 문배동 33-3",37.53669587,126.9701776,02-703-6842,"오징어볶음 (10,000원), 문경콩청국장 (10,000원), 냉콩국수 (12,000원), 제육볶음 (10,000원), 비빔밥 (10,000원), 김치찌개 (9,000원), 생삼겹살 (1인분) (15,000원)",영업시간 월~토 06:00 ~ 21:00,
한땀스시,"초밥,롤",4.6,248,"서울 용산구 한강대로 69 용산푸르지오써밋 상가동 지하1층 102-1호
(지번) 한강로2가 420",37.52704046,126.9648922,02-790-8221,"카이센동 세트 (점심메뉴) (15,000원), 카이센동 코스 (점심메뉴) (19,000원), 런치스시세트 (점심메뉴) (15,000원), 모듬스시 A코스 (점심메뉴) (19,000원), 모듬스시 B코스 (점심메뉴) (25,000원), 한땀스시코스 (점심메뉴) (35,000원), 카이센동 코스 (19,000원), 모듬스시 A코스 (19,000원), 모듬스시 B코스 (25,000원), 한땀스시코스 (35,000원), 사시미코스 (2인 기준) (79,000원), 모듬사시미 (50,000원), 미니사시미 (20,000원), 얼큰새우튀김우동 (12,000원), 후토마키 한줄 (18,000원), 아구간이 올라간 후토마키 (5p) (18,000원), 연어/삼치머리구이 (18,000원), 왕새우튀김 (8p) (20,000원), 도미머리조림 (25,000원), 고등어봉초밥 (8~9p) (23,000원)","월,일요일",
윤세영식당,이탈리안,3,126,"서울 용산구 한남대로 164 1층
(지번) 한남동 795-1",37.54255575,127.0024763,02-795-3375,"리코타 치즈 샐러드 (11,500원), 안심 샐러드 (23,500원), 아스파라거스오일 파스타 (18,500원), 토마토 베이컨 파스타 (18,500원), 치킨 카레 라이스 (13,500원)","월,화요일",
바바라스키친,"호프,요리주점",3.4,165,"서울 용산구 대사관로5길 17 1층
(지번) 한남동 685-13",37.53497269,127.0005589,070-8834-0908,메뉴 없음,월요일,
금강산,한식,4.3,59,"서울 용산구 청파로 303 1층
(지번) 청파동2가 114-3",37.54666504,126.9700637,02-713-6650,"묵은지생삼겹(1인) (17,000원), 묵은지감자탕(소) (38,000원), 우거지감자탕(소) (33,000원), 청국장 (9,000원), 묵은지감자탕(중) (43,000원), 묵은지감자탕(대) (48,000원), 우거지감자탕(중) (38,000원), 우거지감자탕(대) (43,000원), 홍어사시미 (40,000원), 묵은지생고기찜(2인이상) (11,000원), 돼지불고기 (9,000원), 콩나물뼈해장국 (9,000원), 된장찌개 (9,000원), 팥칼국수 (10,000원)",영업시간 월~토 11:00 ~ 22:00 · 휴게시간 월~토 14:30 ~ 17:00,
삼정카페,카페,4,62,"서울 용산구 효창원로 172 1층
(지번) 청파동3가 132-48",37.5433901,126.9625229,02-703-7460,"토마토스튜 (7,500원), 삼정프렌치토스트 (11,500원), 삼정플레이트 (15,000원), 베이직프렌치토스트 (8,500원), 아이스크림 프렌치토스트 (9,500원), 바나나푸딩토스트 (11,000원), 트리플치즈프렌치토스트 (11,000원), 잠봉프렌치토스트 (12,500원), 스탠다드샌드위치 (7,500원), 딸기프렌치토스트 (13,000원)",영업시간 매일 08:00 ~ 19:30,
와플하우스,"제과,베이커리",3.8,215,"서울 용산구 청파로45길 37
(지번) 청파동2가 71-75",37.54446116,126.9685428,02-711-2649,"버터&잼 와플 (3,500원), 허니&시나몬 와플 (4,000원), 초콜릿 와플 (4,000원), 블루베리크림치즈 와플 (4,000원), 메이플시럽 와플 (4,000원), 햄&치즈버거 (5,500원), 에그버거 (5,500원), 불고기버거 (6,500원), 바질&토마토버거 (6,800원), 티코버거 (6,500원), 할라피뇨불고기버거 (6,500원), 피넛버터&무화과샌드위치 (8,000원), 햄치즈샌드위치 (8,000원), BLT샌드위치 (8,000원), 바질&햄샌드위치 (8,000원), 딸기빙수 (10,500원), 과일빙수 (10,500원), 섞은빙수 (10,500원), 팥빙수 (10,500원), 커피팥빙수 (10,000원), 녹차팥빙수 (10,000원), 밀크아이스크림 (3,500원)",매일 11:30 ~ 22:30,
아우프글렛 한남점,카페,3.6,253,"서울 용산구 이태원로54가길 20 1층
(지번) 한남동 683-24",37.53689866,127.0014191,070-8898-0699,"크로플 (12,000원), 에스프레소 (4,000원), 아메리카노 (5,500원), 카페라떼 (6,000원), 얼그레이 밀크티 (6,500원)",영업시간 매일 12:00 ~ 20:30,
카키바움,카페,3.3,176,"서울 용산구 한강대로52길 29 1~3층
(지번) 한강로1가 225-1",,,02-790-6275,"에스프레소 (5,000원), 아메리카노 (5,000원), 카페라떼 (6,000원), 얼그레이 (5,500원), 샤케라또 (5,000원), 바닐라빈라떼 (6,500원), 아인슈페너 (6,500원), 로얄밀크티 (6,500원), 말차라떼 (6,500원), 크림말차라떼 (7,000원), 레드와인에이드 (8,000원), 허니레몬에이드 (6,500원), 유자몽에이드 (6,500원), 블루베리주스 (7,000원), 캐모마일 (5,500원), 레몬방 (5,500원), 루이보스 (5,500원), 히비스커스 (5,500원), 초콜릿밀크 (6,500원), 카페모카 (6,500원)",영업시간 매일 11:00 ~ 22:00,
라이너스바베큐,양식,3.5,58,"서울 용산구 녹사평대로32길 15 1층
(지번) 이태원동 34-25",37.53366939,126.9897011,02-790-2920,메뉴 없음,영업시간 월~목 11:30 ~ 21:00 · 휴게시간 월~금 15:00 ~ 17:00,
스시고코로,"초밥,롤",4.1,67,"서울 용산구 한남대로 60 한남리첸시아 1층
(지번) 한남동 72-1",37.53448433,127.0081924,02-790-1182,"런치코스 (55,000원), 디너 (130,000원)",영업시간 매일 11:50 ~ 21:20,
빌라드블루 Villa de Bleu,양식,3.9,139,"서울 용산구 신흥로 30-1 1층
(지번) 용산동2가 45-13",37.5411543,126.9871771,02-6261-8242,"알리고 치즈 라자냐 (21,000원), 뽈뽀 맘보 (23,000원), 뇨끼 프릿츠 (9,000원), 로메스코 로제 뇨끼 (19,000원), 아말피 씨푸드 프라이즈 (19,000원), 페퍼 스테이크 (39,000원)",월요일,
파차마마 베이커리,"제과,베이커리",4,844,"서울 용산구 한강대로62다길 9 1층
(지번) 한강로1가 205-1",37.53332931,126.9741076,070-8860-8700,"피스타치오 슬라이스 (8,900원), 피스타치오 크림 라떼 (6,500원), 포테이토 미트 페퍼 파이 (8,900원), 칠리콘 페이스트리 (4,900원), 김치 치즈 깜빠뉴 (6,900원), 초코 스틱 페스츄리 (3,200원), 럼 스윗 페이스트리 (4,600원), 바닐라 시나몬롤 (3,900원), 소금빵 (3,600원), 카라멜 땅콩 비엔나 (6,500원), 크루키(크로아상+쿠키) (5,900원), 플레인 크로아상 (5,000원), 바닐라 커스타드 크림 크루아상 (5,900원), 피스타치오 크림 크루아상 (6,300원), 블루베리잼 스콘 (3,900원), 크랜베리 스콘 (3,800원), 레몬 마들렌 (3,200원), 깨 흑임자 마들렌 (3,400원), 메이플 피칸 마들렌 (3,400원), 애플파이 앤 크림 (0원)",영업시간 매일 10:00 ~ 21:30,
추억의연탄구이,"육류,고기",4.7,12,"서울 용산구 녹사평대로 228-2 1층
(지번) 이태원동 675",37.53803907,126.9870409,02-793-1610,"생삼겹살 (200g) (16,000원), 생목살 (200g) (16,000원), 갈매기살 (200g) (16,000원), 양념돼지갈비 (200g) (16,000원), 김치찌개 (4,000원), 된장찌개 (3,000원), 계란찜 (4,000원), 열무냉면 (6,000원), 공기밥 (1,000원)",월요일,
광식이네아구찜,아구,4.2,15,"서울 용산구 후암로 65 브라운스톤아파트상가
(지번) 후암동 458",37.55146286,126.9759689,02-774-0717,"동태탕 (10,000원), 아귀찜 (소) (35,000원), 해물찜 (소) (35,000원), 아귀지리 (소) (35,000원)",영업시간 월~금 11:00 ~ 21:00 · 휴게시간 월~금 15:00 ~ 17:00,
노노샵 & 카페,카페,4.7,48,"서울 용산구 보광로 90 태광빌딩 2층 202호
(지번) 이태원동 21-1",37.53127499,126.9955375,070-8657-1537,"레몬 로마노 (4,500원), 프랄리네 라떼 (6,500원), 에스프레소 (4,000원), 아메리카노 (4,500원), 카페 누아제트 (5,000원), 카페 라떼 (5,000원), 말차 라떼 (6,000원), 초코 라떼 (6,000원), 녹차 (5,000원), 카모마일 / 루이보스/ 페퍼민트 / 라벤더 (5,000원)",월요일,
사랑방 참숯화로구이,"육류,고기",4.5,64,"서울 용산구 신흥로36길 4
(지번) 후암동 415-39",37.54642624,126.9817892,02-774-5950,"갈비살 (1인분) (30,000원), 돼지갈비 (1인분) (17,000원), 돼지목살 (1인분) (17,000원), 삼겹살 (1인분) (17,000원), 냉면 (6,000원)","영업시간 월,수,목,금,토,일 16:00 ~ 22:00",
누오바 이탈리아,"제과,베이커리",3.2,224,"서울 용산구 이촌로 352 신동아쇼핑센터 1층 101호
(지번) 용산동6가 69-167",37.51738375,126.9851757,,"에스프레소 (3,000원), 에스프레소 마끼아또 (3,500원), 카푸치노 (5,400원), 아메리카노 (4,500원), 라떼 (5,400원), 살시챠피자 (가격정보 없음), 미트볼샌드위치 (가격정보 없음)",매일 07:00 ~ 23:00,
장강중류,중식,4.3,12,"서울 용산구 이태원로 143-30 2층
(지번) 이태원동 454-2",37.53464115,126.9890222,010-6727-0329,"연근갈비탕 한상차림(2인이상 주문가능) (36,000원), 뉴자훠궈 한상차림(2인이상 주문가능) (39,000원), 홍샤오로우(예약) (29,000원), 장강 한상차림 (55,000원), 대륙 한상 (88,000원), 장강마파두부s (17,000원), 라즈지s (22,000원), 토마토달걀볶음 (17,000원), 호북식어향가지 (19,000원), 장강차오판(예약) (15,000원), 장강만두(예약) (10,000원), 연근갈비탕(예약) (10,000원), 연유꽃빵(4pcs) (5,000원)","월,일요일",
탁심케밥,튀르키예음식,4.3,10,"서울 용산구 이태원로 176-1 1층
(지번) 이태원동 128-2",37.53426244,126.9936059,02-790-1282,"닭고기 컵 케밥 (6,900원), 양고기 컵 케밥 (7,900원), 닭고기 필라프 (8,900원), 닭고기 케밥 (5,900원)",월~금 11:00 ~ 03:00,
아틀리에폰드,디저트카페,4.5,33,"서울 용산구 이태원로54길 19 1층
(지번) 한남동 684-1",37.53732149,127.0021925,010-7764-7663,"카라멜바 (CRAMEL BAR) (84,000원), 쿠키박스 (COOKIE BOX) (88,000원), 카라멜바 (CRAMEL BAR) (43,000원), 마들렌 (MADELEINE) (41,000원), 휘낭시에 (FINANCIER) (49,000원), 슈톨렌파운드 (STOLLEN POUND) (49,000원), 파운드케이크 (POUND CAKE) (45,000원)",영업시간 월~수 11:00 ~ 19:00,
다음에또봐,"제과,베이커리",4.3,51,"서울 용산구 한강대로 54-1 3층
(지번) 한강로3가 55",37.52550889,126.9647492,070-7782-2018,레터링 케이크 (변동가격),"월,화,일요일",
물고기주택,회,3.5,328,"서울 용산구 한강대로48길 19 1,2층
(지번) 한강로2가 87-8",37.5314322,126.971645,010-9909-8713,"물고기 모듬회(소) (80,000원), 주택모듬회(소) (80,000원), 물주 스페셜(소) (100,000원), 우니 한판 (45,000원), 우니+단새우 (45,000원), 전복회 (20,000원), 스페셜 참치+우니(소) (150,000원)",매일 14:00 ~ 23:00,
헬카페,카페,3.4,34,"서울 용산구 보광로 76 1층
(지번) 보광동 238-43",37.53032835,126.9970226,,"에스프레소 (HOT) (5,300원), 아메리카노 (5,300원), 카페라떼 (5,500원), 카푸치노 (HOT) (5,500원), 카페모카 (6,000원)",영업시간 월~금 08:00 ~ 21:00,
한남동꼬치,"호프,요리주점",4.2,34,"서울 용산구 대사관로30길 12 1층
(지번) 한남동 641-7",37.53276754,127.0054628,02-792-9046,메뉴 없음,월~토 18:00 ~ 03:00,
라따뚜이인서울,양식,4.7,106,"서울 용산구 청파로 270-2 1층
(지번) 청파동3가 12-2",37.54366872,126.9709483,010-7926-7021,메뉴 없음,"영업시간 월,금,일 12:00 ~ 22:00 · 휴게시간 월,금,일 16:00 ~ 17:00",
플랜트 이태원,양식,4.4,106,"서울 용산구 보광로 117 2층
(지번) 이태원동 130-43",37.53314469,126.9942292,02-749-1981,"Espresso (4,000원), Americano (5,000원), Cafe Latte (5,500원), Vanilla Latte (6,000원), Pumpkin Spice Latte (Seasonal) (6,500원), Earl Grey Latte (6,500원), Chai Latte (6,500원), Turmeric Latte (6,000원), Matcha Latte (6,500원), Bert Juice (9,000원), Green Juice (9,000원), Power Green Smoothie (9,000원), Razzleberry Smoothie (9,000원), Mango Smoothie (9,000원), Hot apple Ginger Tea (Seasonal)) (8,500원), Kombucha (7,000원), Organic Tea (5,500원), Hummus and Toast (8,500원), Chillie Cheese Fries (12,000원), Cauliflower Wings (Original) (12,500원), Hummus Squash Salad (15,500원), Teriyaki Stir-fry Rice (14,000원), Mac n Cheese pasta (16,000원), Chorizo Beans (16,500원), Sesame Soba bowl (15,000원), Kofta Roasted Veggies (18,000원), Sweet Potato Coconut Curry (18,000원), Cajun Chicken Burger (14,000원), Chillie Cheeseburger (13,000원), Mushroom Burger (12,500원), Tofu Wrap (13,500원), Philly Cheesesteak sandwich (13,000원), Mango Chia Pudding (8,500원), Apple Cinnamon Chia Pudding (8,500원), Banana Bread (4,000원), Walnut Brownie (4,000원), Pumpkin Marble Bread (4,000원)",월요일,
굴다리소곱창,"곱창,막창",4,212,"서울 용산구 청파로 269-1
(지번) 청파동3가 48-4",37.54368646,126.9705481,,"소곱창 (200g) (25,000원), 소염통 (200g) (20,000원), 소대창 (200g) (25,000원)",월~토 18:00 ~ 23:00,
나우 남영,양식,4.1,105,"서울 용산구 원효로89길 23 2층
(지번) 원효로1가 48-15",37.54073576,126.9677253,02-6369-8923,브레이징활문어 (변동가격),영업시간 월~수 11:30 ~ 22:00 · 휴게시간 월~수 14:00 ~ 17:00,
대군 해물탕,"해물,생선",4,11,"서울 용산구 한강대로84길 11-8 1층
(지번) 남영동 37-4",37.5439759,126.9733503,02-790-3150,"꽃게탕 (중) (52,000원), 꽃게찜 (중) (52,000원), 해물찜 (중) (42,000원), 해물탕 (소) (32,000원), 아구찜 (중) (42,000원), 쭈꾸미철판 (2인) (20,000원)",영업시간 매일 11:00 ~ 22:00,
투림돈까스,이탈리안,3.8,20,"서울 용산구 효창원로 117 2층
(지번) 용문동 5-94",37.53872005,126.9608767,02-711-8787,"투림돈까스 (10,000원), 함박스테이크 (13,000원), 마리게리따 (18,000원), 고르곤졸라 (18,000원), 뽀모도로 (13,000원), 까르보나라 (13,000원), 봉골레 (15,000원), 해산물파스타(토마토) (16,000원), 해산물파스타(크림) (16,000원), 볼로네즈 (16,000원), 페퍼로니피자 (20,000원), 루꼴라피자 (22,000원)",월요일,
모센트,카페,3.6,553,"서울 용산구 한강대로52길 25-14 1,2층
(지번) 한강로1가 230-1",37.53223023,126.9731224,,"에스프레소 (4,800원), 아메리카노 (5,800원), 플랫화이트 (6,500원), 호주식 카푸치노 (6,500원), 카페라떼 (6,500원), 바닐라딥라떼 (6,800원), 레몬 그라스 허브티 (6,500원), 보성 호지차 (6,800원), 보이숙차 (6,800원), 정산소종 홍차 (6,800원)",영업시간 월~금 10:00 ~ 22:00,
옛날감자전,"호프,요리주점",3,153,"서울 용산구 한강대로84길 11-9 1층
(지번) 남영동 33-2",37.54397026,126.9731243,02-749-0395,"감자전 (15,000원), 해물파전 (18,000원), 얼큰수제비 (17,000원), 도토리묵김치볶음 (17,000원), 오징어감자전 (17,000원), 매콤오돌뼈 (22,000원), 맑은황태탕 (22,000원), 치즈감자전 (17,000원), 지평막걸리 (5,000원), 참치김치찌개 (17,000원), 김치찌개 (18,000원), 도보리묵김치볶음 (17,000원), 매콤소세지이채볶음 (17,000원), 오돌뼈치즈 (19,000원), 황도 (15,000원), 매콤한오징어볶음 (22,000원), 많은황태탕 (22,000원), 쥐포 (15,000원), 도토리북 (16,000원), 도보리냉묵밥 (19,000원)",월~토 16:30 ~ 01:00,
시애틀에스프레소,커피전문점,4.4,13,"서울 용산구 한강대로11길 4 1-2층
(지번) 한강로3가 40-602",37.5250389,126.9633709,02-790-4493,메뉴 없음,영업시간 월~금 08:30 ~ 18:00,
돈에뜰,"육류,고기",3.3,126,"서울 용산구 한강대로40가길 39
(지번) 한강로2가 47-1",37.53166734,126.9722015,02-793-5487,"목살(200g) (16,000원), 삼겹살(200g) (16,000원), 돼지갈비(250g) (17,000원), 육회(200g) (28,000원), 한우부채살(250g) (34,000원), 칡냉면(물냉면/비빔냉면) (9,000원), 불고기정식(2인이상) (13,000원)",영업시간 매일 11:00 ~ 22:00,
한담,"육류,고기",3.9,137,"서울 용산구 한강대로38길 17 1층
(지번) 한강로2가 157-2",37.52958365,126.9698651,02-792-3393,"통삼겹살 (170g) (17,000원), 통목살 (170g) (17,000원), 천겹살 (150g) (19,000원)",영업시간 월~금 11:30 ~ 22:00 · 휴게시간 월~금 14:00 ~ 17:00,
제이엘디저트바,디저트카페,4.3,68,"서울 용산구 대사관로31길 7-2 3층
(지번) 한남동 657-115",37.53390306,127.0057237,02-543-6140,디저트테이스팅 메뉴 (변동가격),영업시간 월~금 13:00 ~ 22:00 · 휴게시간 월~금 17:00 ~ 18:00,
정림식당,한식,4.2,21,"서울 용산구 백범로87길 48-11 1층
(지번) 원효로1가 43-22",37.53920815,126.969541,02-716-8560,"오늘의 백반 (6,000원), 김치찌개 (6,000원), 청국장찌개 (6,000원), 삼겹살(180g) (15,000원), 닭볶음탕 (35,000원)",,
강원정삼계탕,삼계탕,4.3,78,"서울 용산구 원효로89길 13-10
(지번) 원효로1가 48-7",37.5404764,126.9678586,02-719-9978,"삼계탕 (17,000원), 닭도리탕 (1마리)(계절메뉴) (38,000원)",영업시간 매일 11:30 ~ 20:30 · 휴게시간 매일 14:30 ~ 17:30,
어텀브릿,카페,3.9,175,"서울 용산구 백범로99길 40 용산베르디움프렌즈 101동 1층 103호
(지번) 한강로2가 426",37.53582586,126.9716393,02-797-2212,메뉴 없음,매일 09:00 ~ 23:00,
제주아방,"육류,고기",3.9,34,"서울 용산구 한강대로39길 6-8 1층
(지번) 한강로2가 306-3",37.53099665,126.9690041,,"오겹살 (1인분) (18,000원), 목살 (1인분) (18,000원), 가브리살 (1인분) (19,000원), 갈매기살 (1인분) (19,000원), 항정살 (1인분) (19,000원), 된장술밥 전골 (2인분) (16,000원), 볶음밥 (4,000원), 참이슬, 처음처럼, 진로, 새로 (5,000원), 테라, 카스 (6,000원), 한라산 (6,000원), 제주맥주 (7,000원), 아발론 (28,000원), 샤또 기봉 (38,000원), 콜키지(병당) (10,000원)",영업시간 월~금 16:30 ~ 22:00,
원밀,커피전문점,4.6,155,"서울 용산구 원효로19길 18 1층
(지번) 원효로4가 93",37.53299909,126.952836,02-2138-1918,"아메리카노 (3,500원)",영업시간 월~금 08:00 ~ 18:00,
요이땅,일식,4.8,60,"서울 용산구 한강대로80길 21-3 1층
(지번) 남영동 51-1",37.5427914,126.9739776,0507-1386-1196,"[SET] 쿠시카츠5종+숙성회3종 (32,000원), [SET] 쿠시카츠5종+모츠나베 (32,000원), 쿠시카츠 7종 (17,000원), 카라이 미소라멘 (9,000원), 아라비아따 나폴리탄 파스타 (12,000원), 오이 스미소 (6,000원), 쿠시카츠 5종 (13,000원), 산토리 프리미엄몰츠 생맥주 (8,000원), 시콰사 하이볼(청귤) (8,000원), 요이땅 하이볼 (5,000원)",월~토 17:00 ~ 24:00,
라도집,한식,4.1,85,"서울 용산구 독서당로20길 9 1층
(지번) 한남동 264-3",37.53359768,127.009146,010-4907-2941,"생선백반 (11,000원), 오징어백반 (12,000원), 닭탕백반 (12,000원), 제육백반 (12,000원), 칼칼김치찌개 (2인) (24,000원), 보글된장찌개 (2인) (24,000원), 얼큰해물찌개 (2인) (28,000원), 라도 닭볶음탕 (2인) (30,000원), 두부김치 (24,000원), 골뱅이무침 (26,000원), 라도삼겹살 (150g) (15,000원)",영업시간 월~토 11:00 ~ 21:00 · 휴게시간 월~토 15:00 ~ 17:30,
뉴오더클럽 한남,피자,4.4,288,"서울 용산구 이태원로54길 58-14 1층
(지번) 한남동 683-55",37.53591513,127.0006898,02-790-5701,"하프앤하프R (26,000원), 하프앤하프L (31,000원)",매일 14:00 ~ 23:00,
남도돼지촌,"육류,고기",4,207,"서울 용산구 한강대로40가길 40 1-2층
(지번) 한강로2가 53-1",37.531538,126.9723985,0503-7151-7109,"남도돼지 스페셜 (75,000원), 남도돼지 한모둠 (57,000원), 갈매기살 (18,000원), 오이물냉면 (8,000원), 항정살 (18,000원), 차돌박이 (23,000원), 한우육회 (19,000원), 된장찌개 (10,000원), 남도식애호박찌개 (10,000원), 남도볶음밥(2인분) (10,000원), 비빔냉면 (8,000원), 모둠구이야채 (6,000원)",영업시간 월~금 16:00 ~ 22:00,
원인어밀리언,카페,3,133,"서울 용산구 이태원로54길 31 지하1층
(지번) 한남동 684-62",37.5370311,127.0019509,02-794-2414,"아메리카노 (5,500원), 라떼 (6,000원), 홀리데이 (7,000원), 아인슈페너 (7,000원), 베이비라떼 (7,500원), 너티카라멜 (7,000원), 스카치라떼 (7,500원)",월~토 11:00 ~ 23:00,
홍철책빵,디저트카페,3.1,465,"서울 용산구 한강대로102길 57
(지번) 후암동 123-11",37.54942852,126.9752331,070-4252-3377,"에스프레소 (4,000원), 라떼 (5,500원), 코르타도 (4,500원), 바닐라라떼 (5,700원), 아메리카노 (5,000원), 카푸치노 (5,500원), 쇼콜라떼 (6,000원), 꿀미숫가루 (6,000원), 소르벳소다 (6,500원), 꿀녹차 (5,000원), 오리저널티 (5,500원), 탄산티 (6,000원)","영업시간 월,목,금,토,일 11:00 ~ 18:00",
쟈니덤플링 본관,중국요리,4,100,"서울 용산구 보광로59길 33 1-3층
(지번) 이태원동 74-24",37.5338232,126.9921256,02-790-8831,"새우 물만두 (12개) (12,000원), 군만두 (10개) (12,000원), 홍합 만두국 (11,000원), 계란부추 물만두 (10개) (12,000원), 계란부추 군만두 (10개) (12,000원), 마파두부덮밥 (11,000원), 송이물만두(8개) (12,000원), 송이군만두(8개) (12,000원), 냉동 포장 판매 (1봉지) (17,000원)",영업시간 매일 11:30 ~ 20:30,
라플랑끄,양식,4,24,"서울 용산구 이태원로26길 26
(지번) 이태원동 129-9",37.53334575,126.9935243,070-7719-3010,"오리고기 파르망티예 (25,000원), 소고기 타르타르 (2명) (10,000원), 오리고기 스테이크 (25,000원), 샐러드 (10,000원), 오리고기 리예뜨 (10,000원), 훈제 연어 (10,000원), 석화 (10,000원), Mixed plate (charcuterie/cheese) (25,000원), 소고기 부르기뇽 (25,000원), 등심 스테이크 (25,000원), 오늘의 생선 (25,000원), 감자 그라탕 (10,000원), 카넬로니 (10,000원), 감자 튀김 (10,000원), 크림 뷔릴레 (7,500원), 초콜릿 무스 (7,500원), 과일과 머링 (7,500원)",월~목 16:30 ~ 22:30,
살라댕엠버시,양식,3.4,136,"서울 용산구 회나무로35길 26 1,2층
(지번) 이태원동 258-69",37.5412829,126.9937545,070-8833-2205,메뉴 없음,영업시간 매일 11:30 ~ 21:30 · 휴게시간 매일 15:00 ~ 17:00,
